outcome,group,day,n_observations,mean,sd,median,q1,q3,minimum,maximum,n_subjects
GW_FootFault,Stroke,14,78,11.83362860246154,5.1487769650650135,11.0799439,8.0,14.522907052499999,3.773584906,25.68807339,78
GW_FootFault,Stroke,21,59,10.98822367877966,4.511837939661989,10.22727273,8.2903780065,14.40092166,2.380952381,20.87912088,59
GW_FootFault,Stroke,28,87,9.23703968910345,5.1343438234755965,8.536585366,5.166666666499999,12.35687023,0.0,23.33333333,87
GW_FootFault,Stroke,42,39,7.0866370025470085,4.516470250650857,5.833333333,3.4523809520000004,9.656432749166665,1.063829787,19.16666667,39
GW_FootFault,Stroke,56,40,5.87668897855,3.497734573872427,5.416666666499999,2.67045454525,8.333333333,1.666666667,15.12605042,40
RB_HindlimbDrop,Sham,0,29,0.3017241379310345,0.3554681919215562,0.25,0.0,0.5,0.0,1.25,29
RB_HindlimbDrop,Sham,3,26,0.47423076923076923,0.4374670097451745,0.5,0.0,0.75,0.0,1.67,26
RB_HindlimbDrop,Sham,7,22,0.6438636363636363,0.4190406612222443,0.5825,0.3725,1.0,0.0,1.5,22
RB_HindlimbDrop,Sham,14,20,0.329,0.43929249337638593,0.125,0.0,0.5,0.0,1.33,20
RB_HindlimbDrop,Sham,21,18,0.2594444444444444,0.3188116209820505,0.125,0.0,0.4575,0.0,1.0,18
RB_HindlimbDrop,Sham,28,15,0.5273333333333333,0.5188650618233535,0.5,0.0,1.0,0.0,1.5,15
RB_HindlimbDrop,Sham,42,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
RB_HindlimbDrop,Sham,56,3,0.15,0.13228756555322954,0.2,0.1,0.225,0.0,0.25,3
RB_HindlimbDrop,Stroke,0,99,0.23797979797979796,0.32645898513514526,0.0,0.0,0.5,0.0,1.0,99
RB_HindlimbDrop,Stroke,3,94,1.687659574468085,1.2506094647818589,1.48,0.75,2.5,0.0,5.33,94
RB_HindlimbDrop,Stroke,7,91,1.0072527472527473,0.8595364589695567,1.0,0.25,1.33,0.0,3.25,91
RB_HindlimbDrop,Stroke,14,83,0.5510843373493977,0.5200047186657218,0.5,0.25,0.75,0.0,2.0,83
RB_HindlimbDrop,Stroke,21,57,0.5835087719298245,0.5531322859990513,0.5,0.25,0.75,0.0,2.0,57
RB_HindlimbDrop,Stroke,28,71,0.302112676056338,0.3590738702072229,0.25,0.0,0.5,0.0,1.5,71
RB_HindlimbDrop,Stroke,42,36,0.24611111111111109,0.27490633325460523,0.14583333333333331,0.0625,0.33,0.0,1.0,36
RB_HindlimbDrop,Stroke,56,38,0.16447368421052633,0.22314335918467731,0.0,0.0,0.31,0.0,0.67,38
